priority_score,section,content_type,route,name,risk_level,review_age_days,word_count,quality_status,quality_completion_score,issue_classifications,canonical_risk_type,recommended_action,recommended_canonical_url,duplicate_group_key,duplicate_group_size,canonical_confidence_score,missing_source_url,missing_required_fields,data_quality_flags,reasons
83,dog-parks,Dog Parks,/dog-parks/river-park-off-leash-area/,River Park Off-Leash Area,Very high,417,121,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 121 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/riverdale-off-leash-area/,Riverdale Off-Leash Area,Very high,417,101,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 101 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/rotary-park-off-leash-area/,Rotary Park Off-Leash Area,Very high,417,146,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 146 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/roxboro-off-leash-area/,Roxboro Off-Leash Area,Very high,417,120,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 120 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/sandstone-area-1-off-leash-dog-park/,Sandstone Area 1 Off-Leash Dog Park,Very high,417,100,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 100 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/sandy-beach-off-leash-area/,Sandy Beach Park Off-Leash Area,Very high,417,118,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 118 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/skyview-ranch-off-leash-area/,Skyview Ranch Off-Leash Area,Very high,417,103,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 103 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/st-patricks-island-off-leash-area/,St. Patrick's Island Off-Leash Area,Very high,417,112,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 112 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/strathcona-park-off-leash-area/,Strathcona Park Off-Leash Area,Very high,417,121,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 121 words; missing park fields: latitude, longitude, shade, reviewedOn"
83,dog-parks,Dog Parks,/dog-parks/sue-higgins-park/,Sue Higgins Park,Very high,417,120,thin-content,79,needs-content-expansion; needs-human-review,,,,,,,no,latitude; longitude; shade; reviewedOn,,"stale 417 days; thin content 120 words; missing park fields: latitude, longitude, shade, reviewedOn"
