"collection","item_name","item_slug","field_name","original_webflow_url","current_local_filename","suggested_local_path","status","notes"
"Blog Posts","Best Hypoallergenic Dog Breeds for Canadian Families","best-hypoallergenic-dog-breeds-canadian-families","Rich Text Body","https://leashfree.ca/dog-breeds/lagotto-romagnolo","","/public/images/blogs/blog-best-hypoallergenic-dog-breeds-canadian-families-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Crate Training 101","crate-training-101-puppy-guide","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e1449fd7eae91a47fbf3c5_crate-training-puppy-hero-leashfree-2880x1488.jpg","","/public/images/blogs/blog-crate-training-101-puppy-guide-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Crate Training 101","crate-training-101-puppy-guide","Rich Text Body","https://leashfree.ca/blog/dealing-with-separation-anxiety-in-dogs","","/public/images/blogs/blog-crate-training-101-puppy-guide-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e19508bac9120c0c526b79_diy-halloween-dog-costumes-hero-leashfree-2880x1488.jpg","","/public/images/blogs/blog-diy-halloween-dog-costumes-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://leashfree.ca/dog-breeds/beagle","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://leashfree.ca/dog-breeds/labrador-retriever","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://leashfree.ca/dog-breeds/border-collie","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e196d3b7860f6623f96991_diy-halloween-dog-costumes-examples-2-leashfree-2880x1488.jpg","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://leashfree.ca/dog-breeds/miniature-pinscher","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://leashfree.ca/dog-breeds/golden-retriever","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://leashfree.ca/dog-breeds/cocker-spaniel","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Rich Text Body","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e19726bac9120c0c52a90e_diy-halloween-dog-costumes-examples-1-leashfree-2880x1488.jpg","","/public/images/blogs/blog-diy-halloween-dog-costumes-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68cc9cad824073630ff2fc66_dog-separation-anxiety-destruction-hero-leashfree-2880x1488.jpg","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://pmc.ncbi.nlm.nih.gov/articles/PMC7521022","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://www.sciencedirect.com/science/article/abs/pii/S0168159110002923","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://www.aaha.org/wp-content/uploads/globalassets/02-guidelines/behavior-management/2015_aaha_canine_and_feline_behavior_management_guidelines_final.pdf","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.pdf","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://youtu.be/BmVSLqCh-RI?si=ZXEz0vAIyIzcSiQw","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://www.youtube.com/embed/BmVSLqCh-RI","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://youtu.be/JWopd1m6_h0?si=SLqsPaaYvu5h5ubH","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://www.youtube.com/embed/JWopd1m6_h0","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://youtu.be/jbYYyESCvcA?si=Sqg-M2yxGFFdDafX","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Rich Text Body","https://www.youtube.com/embed/jbYYyESCvcA","","/public/images/blogs/blog-dealing-with-separation-anxiety-in-dogs-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Age Calculator","dog-age-calculator","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e14dd36ddecd48f991e2ca_dog-age-calculator-hero.jpg","","/public/images/blogs/blog-dog-age-calculator-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Age Calculator","dog-age-calculator","Rich Text Body","http://www.w3.org/2000/svg","","/public/images/blogs/blog-dog-age-calculator-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Age Calculator","dog-age-calculator","Rich Text Body","https://leashfree.ca/dog-breeds","","/public/images/blogs/blog-dog-age-calculator-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Age Calculator","dog-age-calculator","Rich Text Body","https://leashfree.ca/dog-breeds/yorkshire-terrier","","/public/images/blogs/blog-dog-age-calculator-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Age Calculator","dog-age-calculator","Rich Text Body","https://leashfree.ca/dog-breeds/great-dane","","/public/images/blogs/blog-dog-age-calculator-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Age Calculator","dog-age-calculator","Rich Text Body","https://leashfree.ca/dog-breeds/labrador-retriever","","/public/images/blogs/blog-dog-age-calculator-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Age Calculator","dog-age-calculator","Rich Text Body","https://leashfree.ca/dog-breeds/german-shepherd","","/public/images/blogs/blog-dog-age-calculator-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Insurance Waiting Periods Explained","dog-insurance-waiting-periods-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ee871bc6ce42f665902a96_dog-insurance-waiting-periods-canada-hero.jpg","","/public/images/blogs/blog-dog-insurance-waiting-periods-canada-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Insurance Waiting Periods Explained","dog-insurance-waiting-periods-canada","Rich Text Body","https://www.canadianveterinarians.net","","/public/images/blogs/blog-dog-insurance-waiting-periods-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Dog Insurance Waiting Periods Explained","dog-insurance-waiting-periods-canada","Rich Text Body","https://trupanion.com/canada","","/public/images/blogs/blog-dog-insurance-waiting-periods-canada-image.jpg","not_started","Prefilled from CMS export URL."
