"source","type","current_url_or_path","inferred_new_path","collection","slug","status","notes"
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/best-greeting-exercises-to-reduce-jumping-barking-or-biting","/blog/best-greeting-exercises-to-reduce-jumping-barking-or-biting/","Blog Posts","best-greeting-exercises-to-reduce-jumping-barking-or-biting","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/best-hypoallergenic-dog-breeds-canadian-families","/blog/best-hypoallergenic-dog-breeds-canadian-families/","Blog Posts","best-hypoallergenic-dog-breeds-canadian-families","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/crate-training-101-puppy-guide","/blog/crate-training-101-puppy-guide/","Blog Posts","crate-training-101-puppy-guide","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/diy-halloween-dog-costumes","/blog/diy-halloween-dog-costumes/","Blog Posts","diy-halloween-dog-costumes","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/dealing-with-separation-anxiety-in-dogs","/blog/dealing-with-separation-anxiety-in-dogs/","Blog Posts","dealing-with-separation-anxiety-in-dogs","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/dog-age-calculator","/blog/dog-age-calculator/","Blog Posts","dog-age-calculator","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/dog-insurance-waiting-periods-canada","/blog/dog-insurance-waiting-periods-canada/","Blog Posts","dog-insurance-waiting-periods-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/blog-dog-park-etiquette-canada","/blog/blog-dog-park-etiquette-canada/","Blog Posts","blog-dog-park-etiquette-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/halloween-dog-safety-tips","/blog/halloween-dog-safety-tips/","Blog Posts","halloween-dog-safety-tips","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/how-cold-is-too-cold-for-a-dog-walk","/blog/how-cold-is-too-cold-for-a-dog-walk/","Blog Posts","how-cold-is-too-cold-for-a-dog-walk","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/how-to-choose-the-right-dog-park-for-your-pup","/blog/how-to-choose-the-right-dog-park-for-your-pup/","Blog Posts","how-to-choose-the-right-dog-park-for-your-pup","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/how-to-potty-train-puppy-in-condo-apartment","/blog/how-to-potty-train-puppy-in-condo-apartment/","Blog Posts","how-to-potty-train-puppy-in-condo-apartment","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/help-reactive-dog-stay-calm-on-walks","/blog/help-reactive-dog-stay-calm-on-walks/","Blog Posts","help-reactive-dog-stay-calm-on-walks","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/how-to-socialize-your-puppy","/blog/how-to-socialize-your-puppy/","Blog Posts","how-to-socialize-your-puppy","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/puppy-training-independence-games","/blog/puppy-training-independence-games/","Blog Posts","puppy-training-independence-games","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/is-dog-insurance-worth-it-canada","/blog/is-dog-insurance-worth-it-canada/","Blog Posts","is-dog-insurance-worth-it-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/is-it-ever-too-late-to-socialize-a-dog","/blog/is-it-ever-too-late-to-socialize-a-dog/","Blog Posts","is-it-ever-too-late-to-socialize-a-dog","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/keeping-your-dog-active-indoors-during-winter","/blog/keeping-your-dog-active-indoors-during-winter/","Blog Posts","keeping-your-dog-active-indoors-during-winter","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/low-shedding-dog-breeds-for-allergy-sufferers","/blog/low-shedding-dog-breeds-for-allergy-sufferers/","Blog Posts","low-shedding-dog-breeds-for-allergy-sufferers","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear","/blog/smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear/","Blog Posts","smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/the-7-7-7-rule-for-puppies","/blog/the-7-7-7-rule-for-puppies/","Blog Posts","the-7-7-7-rule-for-puppies","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/tips-for-living-with-dogs-if-you-have-allergies","/blog/tips-for-living-with-dogs-if-you-have-allergies/","Blog Posts","tips-for-living-with-dogs-if-you-have-allergies","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/top-10-dog-breeds-for-canadian-families","/blog/top-10-dog-breeds-for-canadian-families/","Blog Posts","top-10-dog-breeds-for-canadian-families","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/top-10-dog-breeds-for-condo-living-canada","/blog/top-10-dog-breeds-for-condo-living-canada/","Blog Posts","top-10-dog-breeds-for-condo-living-canada","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/top-10-dog-parks-in-vancouver","/blog/top-10-dog-parks-in-vancouver/","Blog Posts","top-10-dog-parks-in-vancouver","inferred","Generated from CMS slug; verify against live Webflow URLs."
"LeashFree-Webflow-Backup-2026-05-26/02-cms-csv-exports/LeashFree.ca - Blog Posts - 68bef494bffe949f670f04e5.csv","cms-item","/blog/top-10-off-leash-dog-parks-in-toronto","/blog/top-10-off-leash-dog-parks-in-toronto/","Blog Posts","top-10-off-leash-dog-parks-in-toronto","inferred","Generated from CMS slug; verify against live Webflow URLs."
